08/12/2022 12:42:51:199  WARN - In Progress | session id:sess139027 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : BookingNo : com.avaya.sce.runtime.InputFormatException: toChars, empty string |  |  | undefined
08/12/2022 12:42:51:230  WARN - In Progress | session id:sess139027 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetTimePC:value : com.avaya.sce.runtime.InputFormatException: toDate, value must be either 4 or 6 digit long in format of HHMM[SS] if you do not use separators |  |  | undefined
08/12/2022 12:49:26:133  WARN - In Progress | session id:sess3413065 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : BookingNo : com.avaya.sce.runtime.InputFormatException: toChars, empty string |  |  | undefined
08/12/2022 12:49:26:142  WARN - In Progress | session id:sess3413065 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetTimePC:value : com.avaya.sce.runtime.InputFormatException: toDate, value must be either 4 or 6 digit long in format of HHMM[SS] if you do not use separators |  |  | undefined
08/12/2022 12:49:46:269  WARN - In Progress | session id:sess3413065 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : BookingNo : com.avaya.sce.runtime.InputFormatException: toChars, empty string |  |  | undefined
08/12/2022 12:49:46:270  WARN - In Progress | session id:sess3413065 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetTimePC:value : com.avaya.sce.runtime.InputFormatException: toDate, value must be either 4 or 6 digit long in format of HHMM[SS] if you do not use separators |  |  | undefined
08/12/2022 12:50:12:066  WARN - In Progress | session id:sess3413065 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : BookingNo : com.avaya.sce.runtime.InputFormatException: toChars, empty string |  |  | undefined
08/12/2022 12:50:12:066  WARN - In Progress | session id:sess3413065 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetTimePC:value : com.avaya.sce.runtime.InputFormatException: toDate, value must be either 4 or 6 digit long in format of HHMM[SS] if you do not use separators |  |  | undefined
08/12/2022 12:50:43:387  WARN - In Progress | session id:sess3413065 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : BookingNo : com.avaya.sce.runtime.InputFormatException: toChars, empty string |  |  | undefined
08/12/2022 12:50:43:388  WARN - In Progress | session id:sess3413065 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetTimePC:value : com.avaya.sce.runtime.InputFormatException: toDate, value must be either 4 or 6 digit long in format of HHMM[SS] if you do not use separators |  |  | undefined
08/12/2022 13:03:43:071  INFO - In Progress | session id:sess662340 | HotelTableBooking:AvayaDefaultDisconnectHandler | Default Disconnect Handler | Default connection.disconnect handler caught disconnect, application exiting |  |  | undefined
08/12/2022 13:06:52:396  INFO - In Progress | session id:sess8276444 | HotelTableBooking:AvayaDefaultDisconnectHandler | Default Disconnect Handler | Default connection.disconnect handler caught disconnect, application exiting |  |  | undefined
08/12/2022 13:09:36:806  WARN - In Progress | session id:sess6177067 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetTimePC:value : com.avaya.sce.runtime.InputFormatException: toDate, value must be either 4 or 6 digit long in format of HHMM[SS] if you do not use separators |  |  | undefined
08/12/2022 13:10:26:388  WARN - In Progress | session id:sess6177067 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetTimePC:value : com.avaya.sce.runtime.InputFormatException: toDate, value must be either 4 or 6 digit long in format of HHMM[SS] if you do not use separators |  |  | undefined
08/12/2022 14:37:20:765  WARN - In Progress | session id:sess194258 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetBookingNoPC:value : com.avaya.sce.runtime.InputFormatException: toChars, empty string |  |  | undefined
08/12/2022 14:37:20:774  WARN - In Progress | session id:sess194258 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetTimePC:value : com.avaya.sce.runtime.InputFormatException: toDate, value must be either 4 or 6 digit long in format of HHMM[SS] if you do not use separators |  |  | undefined
08/12/2022 14:37:20:774  WARN - In Progress | session id:sess194258 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetDurationPC:value : com.avaya.sce.runtime.InputFormatException: toTime, value must be in format of HH[:]MM[:][SS] |  |  | undefined
08/12/2022 14:37:44:088  WARN - In Progress | session id:sess194258 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetBookingNoPC:value : com.avaya.sce.runtime.InputFormatException: toChars, empty string |  |  | undefined
08/12/2022 14:37:44:090  WARN - In Progress | session id:sess194258 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetTimePC:value : com.avaya.sce.runtime.InputFormatException: toDate, value must be either 4 or 6 digit long in format of HHMM[SS] if you do not use separators |  |  | undefined
08/12/2022 14:37:44:090  WARN - In Progress | session id:sess194258 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetDurationPC:value : com.avaya.sce.runtime.InputFormatException: toTime, value must be in format of HH[:]MM[:][SS] |  |  | undefined
08/12/2022 14:39:41:653  WARN - In Progress | session id:sess1671588 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetBookingNoPC:value : com.avaya.sce.runtime.InputFormatException: toChars, empty string |  |  | undefined
08/12/2022 14:39:41:656  WARN - In Progress | session id:sess1671588 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetTimePC:value : com.avaya.sce.runtime.InputFormatException: toDate, value must be either 4 or 6 digit long in format of HHMM[SS] if you do not use separators |  |  | undefined
08/12/2022 14:39:41:656  WARN - In Progress | session id:sess1671588 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetDurationPC:value : com.avaya.sce.runtime.InputFormatException: toTime, value must be in format of HH[:]MM[:][SS] |  |  | undefined
08/12/2022 14:40:03:348  INFO - In Progress | session id:sess1671588 | HotelTableBooking:AvayaDefaultDisconnectHandler | Default Disconnect Handler | Default connection.disconnect handler caught disconnect, application exiting |  |  | undefined
08/12/2022 14:50:49:361  WARN - In Progress | session id:sess9705579 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetBookingNoPC:value : com.avaya.sce.runtime.InputFormatException: toChars, empty string |  |  | undefined
08/12/2022 14:50:49:366  WARN - In Progress | session id:sess9705579 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetTimePC:value : com.avaya.sce.runtime.InputFormatException: toDate, value must be either 4 or 6 digit long in format of HHMM[SS] if you do not use separators |  |  | undefined
08/12/2022 14:50:49:366  WARN - In Progress | session id:sess9705579 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetDurationPC:value : com.avaya.sce.runtime.InputFormatException: toTime, value must be in format of HH[:]MM[:][SS] |  |  | undefined
08/12/2022 14:52:41:659  WARN - In Progress | session id:sess7062278 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetBookingNoPC:value : com.avaya.sce.runtime.InputFormatException: toChars, empty string |  |  | undefined
08/12/2022 14:52:41:665  WARN - In Progress | session id:sess7062278 | HotelTableBooking:BookingDetails-BookingAcmt |  | Problem formatting variable : GetTimePC:value : speakChars, unsupported character "?" skipped |  |  | undefined
08/12/2022 14:52:41:669  WARN - In Progress | session id:sess7062278 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetDurationPC:value : com.avaya.sce.runtime.InputFormatException: toTime, value must be in format of HH[:]MM[:][SS] |  |  | undefined
08/12/2022 14:53:19:176  INFO - In Progress | session id:sess7062278 | HotelTableBooking:AvayaDefaultDisconnectHandler | Default Disconnect Handler | Default connection.disconnect handler caught disconnect, application exiting |  |  | undefined
08/12/2022 15:12:48:372  WARN - In Progress | session id:sess6751573 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetNoPersonPC:value : com.avaya.sce.runtime.InputFormatException: toChars, empty string |  |  | undefined
08/12/2022 15:12:48:378  WARN - In Progress | session id:sess6751573 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetDatePC:value : com.avaya.sce.runtime.InputFormatException: toDate, Null value in the input string |  |  | undefined
08/12/2022 15:12:48:378  WARN - In Progress | session id:sess6751573 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetTimePC:value : com.avaya.sce.runtime.InputFormatException: toChars, empty string |  |  | undefined
08/12/2022 15:12:48:378  WARN - In Progress | session id:sess6751573 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetDurationPC:value : com.avaya.sce.runtime.InputFormatException: toTime, Null value in the input string |  |  | undefined
08/12/2022 15:17:27:015  WARN - In Progress | session id:sess1271794 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetBookingNoPC:value : com.avaya.sce.runtime.InputFormatException: toChars, empty string |  |  | undefined
08/12/2022 15:17:27:016  WARN - In Progress | session id:sess1271794 | HotelTableBooking:BookingDetails-BookingAcmt |  | Problem formatting variable : GetTimePC:value : speakChars, unsupported character "?" skipped |  |  | undefined
08/12/2022 15:17:27:016  WARN - In Progress | session id:sess1271794 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetDurationPC:value : com.avaya.sce.runtime.InputFormatException: toTime, value must be in format of HH[:]MM[:][SS] |  |  | undefined
08/12/2022 15:17:51:967  WARN - In Progress | session id:sess1271794 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetBookingNoPC:value : com.avaya.sce.runtime.InputFormatException: toChars, empty string |  |  | undefined
08/12/2022 15:17:51:968  WARN - In Progress | session id:sess1271794 | HotelTableBooking:BookingDetails-BookingAcmt |  | Problem formatting variable : GetTimePC:value : speakChars, unsupported character "?" skipped |  |  | undefined
08/12/2022 15:17:51:968  WARN - In Progress | session id:sess1271794 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetDurationPC:value : com.avaya.sce.runtime.InputFormatException: toTime, value must be in format of HH[:]MM[:][SS] |  |  | undefined
08/12/2022 15:17:57:711  WARN - In Progress | session id:sess1271794 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetBookingNoPC:value : com.avaya.sce.runtime.InputFormatException: toChars, empty string |  |  | undefined
08/12/2022 15:17:57:716  WARN - In Progress | session id:sess1271794 | HotelTableBooking:BookingDetails-BookingAcmt |  | Problem formatting variable : GetTimePC:value : speakChars, unsupported character "?" skipped |  |  | undefined
08/12/2022 15:17:57:717  WARN - In Progress | session id:sess1271794 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetDurationPC:value : com.avaya.sce.runtime.InputFormatException: toTime, value must be in format of HH[:]MM[:][SS] |  |  | undefined
08/12/2022 15:18:20:805  WARN - In Progress | session id:sess1271794 | HotelTableBooking:BookingDetails-BookingAcmt |  | Problem formatting variable : GetTimePC:value : speakChars, unsupported character "?" skipped |  |  | undefined
08/12/2022 15:18:20:806  WARN - In Progress | session id:sess1271794 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetDurationPC:value : com.avaya.sce.runtime.InputFormatException: toTime, value must be in format of HH[:]MM[:][SS] |  |  | undefined
08/12/2022 15:19:24:491  WARN - In Progress | session id:sess1271794 | HotelTableBooking:BookingDetails-BookingAcmt |  | Problem formatting variable : GetTimePC:value : speakChars, unsupported character "?" skipped |  |  | undefined
08/12/2022 15:19:24:492  WARN - In Progress | session id:sess1271794 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetDurationPC:value : com.avaya.sce.runtime.InputFormatException: toTime, value must be in format of HH[:]MM[:][SS] |  |  | undefined
08/12/2022 15:33:03:576  INFO - In Progress | session id:sess5900420 | HotelTableBooking:AvayaDefaultDisconnectHandler | Default Disconnect Handler | Default connection.disconnect handler caught disconnect, application exiting |  |  | undefined
08/12/2022 15:34:25:074  INFO - In Progress | session id:sess6343693 | HotelTableBooking:AvayaDefaultDisconnectHandler | Default Disconnect Handler | Default connection.disconnect handler caught disconnect, application exiting |  |  | undefined
