17/12/2022 15:57:35:862  INFO - In Progress | session id:sess3779934 | HotelTableBooking:AttemptCount-AttemptCheck |  |  |  |  | undefined
17/12/2022 16:06:27:411  INFO - In Progress | session id:sess7994069 | HotelTableBooking:AttemptCount-AttemptCheck |  |  |  |  | undefined
17/12/2022 16:06:45:626  INFO - In Progress | session id:sess7994069 | HotelTableBooking:AttemptCount-AttemptCheck |  |  |  |  | undefined
17/12/2022 16:30:51:959  INFO - In Progress | session id:sess6983344 | HotelTableBooking:AttemptCount-AttemptCheck |  |  |  |  | undefined
17/12/2022 16:30:58:506  INFO - In Progress | session id:sess6983344 | HotelTableBooking:AttemptCount-AttemptCheck |  |  |  |  | undefined
17/12/2022 16:31:25:465  INFO - In Progress | session id:sess6983344 | HotelTableBooking:AttemptCount-AttemptCheck |  |  |  |  | undefined
17/12/2022 16:31:47:919  INFO - In Progress | session id:sess6983344 | HotelTableBooking:AttemptCount-AttemptCheck |  |  |  |  | undefined
17/12/2022 16:32:11:107  INFO - In Progress | session id:sess6983344 | HotelTableBooking:AttemptCount-AttemptCheck |  |  |  |  | undefined
17/12/2022 16:46:52:437  WARN - In Progress | session id:sess9284593 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetNoPersonPC:value : com.avaya.sce.runtime.InputFormatException: toChars, empty string |  |  | undefined
17/12/2022 16:46:52:438  WARN - In Progress | session id:sess9284593 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetDatePC:value : com.avaya.sce.runtime.InputFormatException: toDate, Null value in the input string |  |  | undefined
17/12/2022 16:46:52:438  WARN - In Progress | session id:sess9284593 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetTimePC:value : com.avaya.sce.runtime.InputFormatException: toTime, Null value in the input string |  |  | undefined
17/12/2022 16:46:52:438  WARN - In Progress | session id:sess9284593 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetTimePC:value : com.avaya.sce.runtime.InputFormatException: toChars, empty string |  |  | undefined
17/12/2022 16:46:52:438  WARN - In Progress | session id:sess9284593 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetDurationPC:value : com.avaya.sce.runtime.InputFormatException: toNumber, Null value in the input string |  |  | undefined
17/12/2022 16:47:54:679  INFO - In Progress | session id:sess9284593 | HotelTableBooking:AttemptReset-Reset | ResetAttemptValue |  | AttemptCount | 1 | undefined
17/12/2022 16:47:56:604  INFO - In Progress | session id:sess9284593 | HotelTableBooking:AttemptCount-AttemptCheck |  |  |  |  | undefined
17/12/2022 16:48:02:906  INFO - In Progress | session id:sess9284593 | HotelTableBooking:AttemptReset-Reset | ResetAttemptValue |  | AttemptCount | 1 | undefined
17/12/2022 16:48:06:851  INFO - In Progress | session id:sess9284593 | HotelTableBooking:AttemptReset-Reset | ResetAttemptValue |  | AttemptCount | 1 | undefined
17/12/2022 16:48:09:463  INFO - In Progress | session id:sess9284593 | HotelTableBooking:AttemptReset-Reset | ResetAttemptValue |  | AttemptCount | 1 | undefined
17/12/2022 16:48:09:711  WARN - In Progress | session id:sess9284593 | HotelTableBooking:BookingDetails-BookingAcmt |  | Error formatting variable : GetTimePC:value : com.avaya.sce.runtime.InputFormatException: toDate, value must be either 4 or 6 digit long in format of HHMM[SS] if you do not use separators |  |  | undefined
17/12/2022 16:48:09:711  WARN - In Progress | session id:sess9284593 | HotelTableBooking:BookingDetails-BookingAcmt |  | Problem formatting variable : GetTimePC:value : speakChars, unsupported character "?" skipped |  |  | undefined
17/12/2022 16:48:12:477  INFO - In Progress | session id:sess9284593 | HotelTableBooking:AddBooking-getBookingNo | GetBookingNo | Auto Generated Booking Number | BookingNo | 1750 | undefined
17/12/2022 16:48:36:730  INFO - In Progress | session id:sess9284593 | HotelTableBooking:AttemptCount-AttemptCheck |  |  |  |  | undefined
17/12/2022 16:48:54:697  INFO - In Progress | session id:sess9284593 | HotelTableBooking:AttemptCount-AttemptCheck |  |  |  |  | undefined
17/12/2022 16:49:13:271  INFO - In Progress | session id:sess9284593 | HotelTableBooking:AttemptCount-AttemptCheck |  |  |  |  | undefined
